"Bolim";"Blok";"Stend";"Holat";"m2";"Summa";"Kompaniya";"Mijoz";"Telefon";"Sotuvchi";"Yangilangan"
"HoReCa va ingredientlar";"A";"A-01";"Sotilgan";"9";"11250000";"";"Orient Food Group";"+998 71 200 10 10";"Aziz Karimov";"2026-09-14T09:27:05.637Z"
"HoReCa va ingredientlar";"A";"A-02";"Sotilgan";"9";"11250000";"";"Orient Food Group";"+998 71 200 10 10";"Aziz Karimov";"2026-09-14T09:27:05.637Z"
"HoReCa va ingredientlar";"A";"A-03";"Sotilgan";"9";"11250000";"";"Orient Food Group";"+998 71 200 10 10";"Aziz Karimov";"2026-09-14T09:27:05.637Z"
"HoReCa va ingredientlar";"A";"A-04";"Sotilgan";"9";"11250000";"";"Orient Food Group";"+998 71 200 10 10";"Aziz Karimov";"2026-09-14T09:27:05.637Z"
"HoReCa va ingredientlar";"A";"A-05";"Sotilgan";"9";"11250000";"";"Orient Food Group";"+998 71 200 10 10";"Aziz Karimov";"2026-09-14T09:27:05.637Z"
"HoReCa va ingredientlar";"A";"A-06";"Sotilgan";"9";"11250000";"";"Orient Food Group";"+998 71 200 10 10";"Aziz Karimov";"2026-09-14T09:27:05.637Z"
"HoReCa va ingredientlar";"A";"A-07";"Sotilgan";"9";"11250000";"";"Orient Food Group";"+998 71 200 10 10";"Aziz Karimov";"2026-09-14T09:27:05.637Z"
"HoReCa va ingredientlar";"A";"A-08";"Sotilgan";"9";"11250000";"";"Orient Food Group";"+998 71 200 10 10";"Aziz Karimov";"2026-09-14T09:27:05.637Z"
"Konserva, go'sht va sut";"B";"B-01";"Sotilgan";"9";"11250000";"";"Navoiy Konserva Zavodi";"+998 79 220 30 40";"Dilnoza Yusupova";"2026-09-14T09:27:05.640Z"
"Konserva, go'sht va sut";"B";"B-02";"Sotilgan";"9";"11250000";"";"Navoiy Konserva Zavodi";"+998 79 220 30 40";"Dilnoza Yusupova";"2026-09-14T09:27:05.640Z"
"Konserva, go'sht va sut";"B";"B-03";"Sotilgan";"9";"11250000";"";"Navoiy Konserva Zavodi";"+998 79 220 30 40";"Dilnoza Yusupova";"2026-09-14T09:27:05.640Z"
"Konserva, go'sht va sut";"B";"B-04";"Sotilgan";"9";"11250000";"";"Navoiy Konserva Zavodi";"+998 79 220 30 40";"Dilnoza Yusupova";"2026-09-14T09:27:05.640Z"
"Konserva, go'sht va sut";"B";"B-05";"Bron";"9";"11250000";"";"Buxoro Sut Mahsulotlari";"+998 65 221 33 44";"Sardor Umarov";"2026-09-14T09:27:05.642Z"
"Konserva, go'sht va sut";"B";"B-06";"Bron";"9";"11250000";"";"Buxoro Sut Mahsulotlari";"+998 65 221 33 44";"Sardor Umarov";"2026-09-14T09:27:05.642Z"
"Baliq va dengiz mahsulotlari";"C";"C-01";"Bron";"9";"11250000";"";"Silk Road Seafood";"+998 93 300 44 55";"Aziz Karimov";"2026-09-14T09:27:05.645Z"
"Baliq va dengiz mahsulotlari";"C";"C-02";"Bron";"9";"11250000";"";"Silk Road Seafood";"+998 93 300 44 55";"Aziz Karimov";"2026-09-14T09:27:05.645Z"
"Baliq va dengiz mahsulotlari";"C";"C-03";"Bron";"9";"11250000";"";"Silk Road Seafood";"+998 93 300 44 55";"Aziz Karimov";"2026-09-14T09:27:05.645Z"
"Baliq va dengiz mahsulotlari";"C";"C-04";"Bron";"9";"11250000";"";"Silk Road Seafood";"+998 93 300 44 55";"Aziz Karimov";"2026-09-14T09:27:05.645Z"
"Meva-sabzavot";"D";"D-01";"Sotilgan";"9";"11250000";"";"Fergana Fruit Export";"+998 73 244 55 66";"Dilnoza Yusupova";"2026-09-14T09:27:05.648Z"
"Meva-sabzavot";"D";"D-02";"Sotilgan";"9";"11250000";"";"Fergana Fruit Export";"+998 73 244 55 66";"Dilnoza Yusupova";"2026-09-14T09:27:05.648Z"
"Meva-sabzavot";"D";"D-05";"Sotilgan";"9";"11250000";"";"Fergana Fruit Export";"+998 73 244 55 66";"Dilnoza Yusupova";"2026-09-14T09:27:05.648Z"
"Meva-sabzavot";"D";"D-06";"Sotilgan";"9";"11250000";"";"Fergana Fruit Export";"+998 73 244 55 66";"Dilnoza Yusupova";"2026-09-14T09:27:05.648Z"
"Sog'lom ovqat va organika";"E";"E-01";"Sotilgan";"9";"11250000";"";"Biosifat Organik";"+998 90 900 70 80";"Sardor Umarov";"2026-09-14T09:27:05.650Z"
"Sog'lom ovqat va organika";"E";"E-02";"Sotilgan";"9";"11250000";"";"Biosifat Organik";"+998 90 900 70 80";"Sardor Umarov";"2026-09-14T09:27:05.650Z"
"Sog'lom ovqat va organika";"E";"E-03";"Sotilgan";"9";"11250000";"";"Biosifat Organik";"+998 90 900 70 80";"Sardor Umarov";"2026-09-14T09:27:05.650Z"
"Sog'lom ovqat va organika";"E";"E-04";"Sotilgan";"9";"11250000";"";"Biosifat Organik";"+998 90 900 70 80";"Sardor Umarov";"2026-09-14T09:27:05.650Z"
"Sog'lom ovqat va organika";"E";"E-05";"Sotilgan";"9";"11250000";"";"Biosifat Organik";"+998 90 900 70 80";"Sardor Umarov";"2026-09-14T09:27:05.650Z"
"Sog'lom ovqat va organika";"E";"E-06";"Sotilgan";"9";"11250000";"";"Biosifat Organik";"+998 90 900 70 80";"Sardor Umarov";"2026-09-14T09:27:05.650Z"
"Sog'lom ovqat va organika";"E";"E-07";"Sotilgan";"9";"11250000";"";"Biosifat Organik";"+998 90 900 70 80";"Sardor Umarov";"2026-09-14T09:27:05.650Z"
"Sog'lom ovqat va organika";"E";"E-08";"Sotilgan";"9";"11250000";"";"Biosifat Organik";"+998 90 900 70 80";"Sardor Umarov";"2026-09-14T09:27:05.650Z"
"Eko mahsulotlar";"F";"F-03";"Bron";"9";"11250000";"";"EcoFood Uzbekistan";"+998 91 111 22 33";"Aziz Karimov";"2026-09-14T09:27:05.653Z"
"Eko mahsulotlar";"F";"F-04";"Bron";"9";"11250000";"";"EcoFood Uzbekistan";"+998 91 111 22 33";"Aziz Karimov";"2026-09-14T09:27:05.653Z"
"Eko mahsulotlar";"F";"F-07";"Bron";"9";"11250000";"";"EcoFood Uzbekistan";"+998 91 111 22 33";"Aziz Karimov";"2026-09-14T09:27:05.653Z"
"Eko mahsulotlar";"F";"F-08";"Bron";"9";"11250000";"";"EcoFood Uzbekistan";"+998 91 111 22 33";"Aziz Karimov";"2026-09-14T09:27:05.653Z"
"Yarim tayyor mahsulotlar";"G";"G-01";"Sotilgan";"9";"11250000";"";"Toshkent Yarim Tayyor";"+998 93 555 22 11";"Dilnoza Yusupova";"2026-09-14T09:27:05.655Z"
"Yarim tayyor mahsulotlar";"G";"G-02";"Sotilgan";"9";"11250000";"";"Toshkent Yarim Tayyor";"+998 93 555 22 11";"Dilnoza Yusupova";"2026-09-14T09:27:05.655Z"
"Yarim tayyor mahsulotlar";"G";"G-03";"Sotilgan";"9";"11250000";"";"Toshkent Yarim Tayyor";"+998 93 555 22 11";"Dilnoza Yusupova";"2026-09-14T09:27:05.655Z"
"Yarim tayyor mahsulotlar";"G";"G-04";"Sotilgan";"9";"11250000";"";"Toshkent Yarim Tayyor";"+998 93 555 22 11";"Dilnoza Yusupova";"2026-09-14T09:27:05.655Z"
"Yarim tayyor mahsulotlar";"G";"G-05";"Sotilgan";"9";"11250000";"";"Toshkent Yarim Tayyor";"+998 93 555 22 11";"Dilnoza Yusupova";"2026-09-14T09:27:05.655Z"
"Yarim tayyor mahsulotlar";"G";"G-06";"Sotilgan";"9";"11250000";"";"Toshkent Yarim Tayyor";"+998 93 555 22 11";"Dilnoza Yusupova";"2026-09-14T09:27:05.655Z"
"Ichimliklar";"I";"I-01";"Sotilgan";"9";"11250000";"";"Aqua Water Company";"+998 71 288 99 00";"Sardor Umarov";"2026-09-14T09:27:05.656Z"
"Ichimliklar";"I";"I-02";"Sotilgan";"9";"11250000";"";"Aqua Water Company";"+998 71 288 99 00";"Sardor Umarov";"2026-09-14T09:27:05.656Z"
"Ichimliklar";"I";"I-03";"Sotilgan";"9";"11250000";"";"Aqua Water Company";"+998 71 288 99 00";"Sardor Umarov";"2026-09-14T09:27:05.656Z"
"Ichimliklar";"I";"I-04";"Sotilgan";"9";"11250000";"";"Aqua Water Company";"+998 71 288 99 00";"Sardor Umarov";"2026-09-14T09:27:05.656Z"
"Bakaleya";"J";"J-01";"Bron";"9";"11250000";"";"Galla Bakaleya Savdosi";"+998 66 233 44 55";"Aziz Karimov";"2026-09-14T09:27:05.658Z"
"Bakaleya";"J";"J-02";"Bron";"9";"11250000";"";"Galla Bakaleya Savdosi";"+998 66 233 44 55";"Aziz Karimov";"2026-09-14T09:27:05.658Z"
"Bakaleya";"J";"J-03";"Bron";"9";"11250000";"";"Galla Bakaleya Savdosi";"+998 66 233 44 55";"Aziz Karimov";"2026-09-14T09:27:05.658Z"
