"Раздел";"Компания";"Клиент";"Телефон";"Статус";"Стендов";"м2";"Сумма";"ID стендов";"Продавец";"Обновлено"
"Продукция для HoReCa";"Silver";"Silver";"";"Продано";"1";"9";"11250000";"A-01";"Aziz Karimov";"2026-09-14T13:43:47.700Z"
"Продукция для HoReCa";"YaTT Sh.X.T.";"YaTT Sh.X.T.";"";"Продано";"1";"9";"11250000";"A-02";"Dilnoza Yusupova";"2026-09-14T13:43:47.701Z"
"Продукция для HoReCa";"Ecocups";"Ecocups";"";"Продано";"1";"9";"11250000";"A-03";"Sardor Umarov";"2026-09-14T13:43:47.701Z"
"Консервация";"Ansor-Zoxir";"Ansor-Zoxir";"";"Продано";"1";"9";"11250000";"B-01";"Aziz Karimov";"2026-09-14T13:43:47.701Z"
"Консервация";"B12 — бронь";"B12 — бронь";"";"Бронь";"1";"9";"11250000";"B-02";"Dilnoza Yusupova";"2026-09-14T13:43:47.701Z"
"Рыба и морепродукты";"Toyirxon";"Toyirxon";"";"Продано";"1";"9";"11250000";"C-01";"Sardor Umarov";"2026-09-14T13:43:47.701Z"
"Фрукты и овощи";"Xinjiang Lianfu Food";"Xinjiang Lianfu Food";"";"Продано";"1";"9";"11250000";"D-01";"Aziz Karimov";"2026-09-14T13:43:47.701Z"
"Фрукты и овощи";"Sayhal Agro Holding";"Sayhal Agro Holding";"";"Продано";"1";"9";"11250000";"D-02";"Dilnoza Yusupova";"2026-09-14T13:43:47.701Z"
"Продукты для здорового питания, Спорт Пит";"Kolna";"Kolna";"";"Продано";"1";"9";"11250000";"E-01";"Sardor Umarov";"2026-09-14T13:43:47.701Z"
"Мясная и молочная индустрия";"Oltin Go'sht Sari";"Oltin Go'sht Sari";"";"Продано";"1";"9";"11250000";"H-01";"Aziz Karimov";"2026-09-14T13:43:47.702Z"
"Мясная и молочная индустрия";"Oltin Go'sht Turon";"Oltin Go'sht Turon";"";"Продано";"1";"9";"11250000";"H-02";"Dilnoza Yusupova";"2026-09-14T13:43:47.702Z"
"Мясная и молочная индустрия";"Saldis Trading Group";"Saldis Trading Group";"";"Продано";"1";"9";"11250000";"H-03";"Sardor Umarov";"2026-09-14T13:43:47.702Z"
"Мясная и молочная индустрия";"Dobroye Derevenskoye";"Dobroye Derevenskoye";"";"Продано";"1";"9";"11250000";"H-04";"Aziz Karimov";"2026-09-14T13:43:47.702Z"
"Мясная и молочная индустрия";"Saldis Trading Group (2)";"Saldis Trading Group (2)";"";"Продано";"1";"9";"11250000";"H-05";"Dilnoza Yusupova";"2026-09-14T13:43:47.702Z"
"Рыба и морепродукты (2)";"CHORTAK FIDANI";"CHORTAK FIDANI";"";"Продано";"4";"36";"45000000";"I-02, I-03, I-04, I-05";"Aziz Karimov";"2026-09-14T13:43:47.702Z"
"Рыба и морепродукты (2)";"AKULA";"AKULA";"";"Продано";"1";"9";"11250000";"I-01";"Sardor Umarov";"2026-09-14T13:43:47.702Z"
"Напитки";"Brew Group";"Brew Group";"";"Продано";"1";"9";"11250000";"J-01";"Dilnoza Yusupova";"2026-09-14T13:43:47.702Z"
"Напитки";"New Leads Camping";"New Leads Camping";"";"Продано";"1";"9";"11250000";"J-02";"Sardor Umarov";"2026-09-14T13:43:47.702Z"
"Напитки";"Milliy Bottlers";"Milliy Bottlers";"";"Продано";"1";"9";"11250000";"J-03";"Aziz Karimov";"2026-09-14T13:43:47.702Z"
