"Bolim";"Blok";"Stend";"m2";"Narx (so'm)"
"Konserva, go'sht va sut";"B";"B-07";"9";"11250000"
"Konserva, go'sht va sut";"B";"B-08";"9";"11250000"
"Baliq va dengiz mahsulotlari";"C";"C-05";"9";"11250000"
"Baliq va dengiz mahsulotlari";"C";"C-06";"9";"11250000"
"Baliq va dengiz mahsulotlari";"C";"C-07";"9";"11250000"
"Baliq va dengiz mahsulotlari";"C";"C-08";"9";"11250000"
"Meva-sabzavot";"D";"D-03";"9";"11250000"
"Meva-sabzavot";"D";"D-04";"9";"11250000"
"Meva-sabzavot";"D";"D-07";"9";"11250000"
"Meva-sabzavot";"D";"D-08";"9";"11250000"
"Eko mahsulotlar";"F";"F-01";"9";"11250000"
"Eko mahsulotlar";"F";"F-02";"9";"11250000"
"Eko mahsulotlar";"F";"F-05";"9";"11250000"
"Eko mahsulotlar";"F";"F-06";"9";"11250000"
"Yarim tayyor mahsulotlar";"G";"G-07";"9";"11250000"
"Yarim tayyor mahsulotlar";"G";"G-08";"9";"11250000"
"Ichimliklar";"I";"I-05";"9";"11250000"
"Ichimliklar";"I";"I-06";"9";"11250000"
"Ichimliklar";"I";"I-07";"9";"11250000"
"Ichimliklar";"I";"I-08";"9";"11250000"
"Bakaleya";"J";"J-07";"9";"11250000"
"Bakaleya";"J";"J-08";"9";"11250000"
"Qandolat mahsulotlari";"K";"K-01";"9";"11250000"
"Qandolat mahsulotlari";"K";"K-02";"9";"11250000"
"Qandolat mahsulotlari";"K";"K-03";"9";"11250000"
"Qandolat mahsulotlari";"K";"K-04";"9";"11250000"
"Uskunalar va qadoqlash";"EQ-1";"EQ-1-05";"9";"11250000"
"Uskunalar va qadoqlash";"EQ-1";"EQ-1-06";"9";"11250000"
"Uskunalar va qadoqlash";"EQ-2";"EQ-2-05";"9";"11250000"
"Uskunalar va qadoqlash";"EQ-2";"EQ-2-06";"9";"11250000"
"Chap qanot — A1–A6";"A3";"A3";"25.4";"31750000"
"Chap qanot — A1–A6";"A1";"A1";"27.41";"34262500"
