"Раздел";"Блок";"Стенд";"м2"
"Продукция для HoReCa";"A";"A-02";"9"
"Продукция для HoReCa";"A";"A-04";"9"
"Продукция для HoReCa";"A";"A-06";"9"
"Продукция для HoReCa";"A";"A-07";"9"
"Продукция для HoReCa";"A";"A-08";"9"
"Консервация";"B";"B-02";"9"
"Консервация";"B";"B-04";"9"
"Консервация";"B";"B-05";"9"
"Консервация";"B";"B-06";"9"
"Консервация";"B";"B-07";"9"
"Консервация";"B";"B-08";"9"
"Рыба и морепродукты";"C";"C-02";"9"
"Рыба и морепродукты";"C";"C-03";"9"
"Рыба и морепродукты";"C";"C-04";"9"
"Рыба и морепродукты";"C";"C-05";"9"
"Рыба и морепродукты";"C";"C-06";"9"
"Рыба и морепродукты";"C";"C-07";"9"
"Рыба и морепродукты";"C";"C-08";"9"
"Фрукты и овощи";"D";"D-02";"9"
"Фрукты и овощи";"D";"D-04";"9"
"Фрукты и овощи";"D";"D-05";"9"
"Фрукты и овощи";"D";"D-06";"9"
"Фрукты и овощи";"D";"D-07";"9"
"Фрукты и овощи";"D";"D-08";"9"
"Продукты для здорового питания, Спорт Пит";"E";"E-02";"9"
"Продукты для здорового питания, Спорт Пит";"E";"E-03";"9"
"Продукты для здорового питания, Спорт Пит";"E";"E-04";"9"
"Продукты для здорового питания, Спорт Пит";"E";"E-05";"9"
"Продукты для здорового питания, Спорт Пит";"E";"E-06";"9"
"Продукты для здорового питания, Спорт Пит";"E";"E-07";"9"
"Продукты для здорового питания, Спорт Пит";"E";"E-08";"9"
"Органика";"F";"F-01";"9"
"Органика";"F";"F-02";"9"
"Органика";"F";"F-03";"9"
"Органика";"F";"F-04";"9"
"Органика";"F";"F-05";"9"
"Органика";"F";"F-06";"9"
"Органика";"F";"F-07";"9"
"Органика";"F";"F-08";"9"
"Ингредиенты и компоненты";"G";"G-01";"9"
"Ингредиенты и компоненты";"G";"G-02";"9"
"Ингредиенты и компоненты";"G";"G-03";"9"
"Ингредиенты и компоненты";"G";"G-04";"9"
"Ингредиенты и компоненты";"G";"G-05";"9"
"Ингредиенты и компоненты";"G";"G-06";"9"
"Ингредиенты и компоненты";"G";"G-07";"9"
"Ингредиенты и компоненты";"G";"G-08";"9"
"Мясная и молочная индустрия";"H";"H-04";"9"
"Мясная и молочная индустрия";"H";"H-06";"9"
"Мясная и молочная индустрия";"H";"H-08";"9"
"Рыба и морепродукты (2)";"I";"I-04";"9"
"Рыба и морепродукты (2)";"I";"I-06";"9"
"Рыба и морепродукты (2)";"I";"I-08";"9"
"Напитки";"J";"J-04";"9"
"Напитки";"J";"J-06";"9"
"Напитки";"J";"J-08";"9"
"Органика (2)";"K";"K-04";"9"
"Органика (2)";"K";"K-06";"9"
"Органика (2)";"K";"K-08";"9"
"Полуфабрикаты";"L";"L-02";"9"
"Полуфабрикаты";"L";"L-04";"9"
"Полуфабрикаты";"L";"L-06";"9"
"Полуфабрикаты";"L";"L-07";"9"
"Полуфабрикаты";"L";"L-08";"9"
"Напитки (2)";"M";"M-02";"9"
"Напитки (2)";"M";"M-03";"9"
"Напитки (2)";"M";"M-04";"9"
"Напитки (2)";"M";"M-05";"9"
"Напитки (2)";"M";"M-06";"9"
